fold,train_years,test_year,n_train,mean_mae,var_mae,skew_mae,kurt_mae,cov_fro
1,5,2006,1305,0.00014499806349062153,7.060854200056552e-06,0.31123817903443457,1.8044085326818757,0.8336368138709579
2,6,2007,1565,0.00015037560490761907,5.6947789325239664e-06,0.33151734196602595,2.188805556941953,0.5816304237800894
3,7,2008,1826,0.0003756016071808547,4.970681714794796e-05,0.5625590204520975,1.2068750564231046,0.8071524989758977
4,8,2009,2088,0.00038292251063657047,1.3186404414662398e-05,0.34663603862874376,3.7913553634160855,0.5100528166179111
5,9,2010,2349,0.00016325378218229756,9.536822891662063e-06,0.5232923274337767,3.811076656411712,0.8258859229141536
6,10,2011,2610,0.00014459142763729305,1.097285225978308e-06,0.40111105672905534,2.9671480965523584,0.13450030456543702
7,11,2012,2870,0.00018082680105792917,1.2095200851849213e-05,0.33027622043375227,3.866634030372281,1.6433298835094792
8,12,2013,3131,0.00016039901987956778,1.1666231223391543e-05,0.2768893415880153,3.366735261211931,1.914227551835084
9,13,2014,3392,0.00018015533864250332,1.0416078615924685e-05,0.23346608116489098,3.3718826369877553,1.5160285401128786
10,14,2015,3653,9.694277005423584e-05,6.3273975263736215e-06,0.39208562239656025,2.8014603326486403,0.35623921268015174
11,15,2016,3914,0.00011966060157430208,2.625866262272549e-06,0.32548006000933727,3.543986798544419,0.28406115948608535
12,16,2017,4175,7.302181584304668e-05,1.1734294681093285e-05,0.23732632943690715,2.990706230584877,2.793117080728829
13,17,2018,4435,0.00018932451473366625,6.1854546887071635e-06,0.2073506105088909,3.646014356910944,0.757512426128076
14,18,2019,4696,0.00022509374841937272,8.661686635954011e-06,0.416180300050634,3.1287903029746786,1.3642361653568
15,19,2020,4957,0.00019625975135898204,3.4207459339160376e-05,0.7725052780238234,4.441928580868707,0.7282550410431874
16,20,2021,5219,0.00015293589034435343,7.785515933179733e-06,0.2497453914507963,4.910940006846222,1.3117080815793112
17,21,2022,5480,0.00021866910938330426,4.043926980332823e-06,0.3583709466459636,4.47548403189706,0.3395335232117824
18,22,2023,5740,8.242372552058116e-05,6.793671102376376e-06,0.56840025583524,3.15413056880714,1.188248193059353
19,23,2024,6000,7.459669413969504e-05,7.762970373244942e-06,0.5452985193802227,4.231861497567829,1.2667696707538696
20,24,2025,6262,0.00014816751347402696,5.0331431084248135e-06,0.7238828463376121,3.0633716402553013,0.5964410482929078
